job_title,job_description,country,date_posted,source,role
Data analist,"Wil jij met veel afwisseling als data analist meewerken aan maatschappelijke vraagstukken die spelen bij de lokale overheid? Wij zoeken een enthousiaste data-analist die een volgende stap wil zetten. Ben jij iemand met ervaring in de publieke sector en heb jij zin om die in te zetten bij onze leuke opdrachtgevers, gemeenten, provincies en waterschappen? Dan zit je bij ons helemaal goed. Bij ons, hoor je erbij. NCOD Informatie is een groep van 30 collega’s: een mix van leeftijden, achtergronden …",nl,2026-04-08T18:41:25Z,adzuna,data_analyst
Senior Data Analyst (Business Intelligence),"Vacature kenmerken Standplaats Huis ter Heide (Ut) Contractduur 1 jaar Uren per week 36 - 38 Maandsalaris €3,035.00 - €4,205.00 Salarisniveau Burgerschaal IBBAD 07 - Burgerschaal IBBAD 07 Niveau MBO; MBO 3; MBO 4 Vakgebied ICT Vacaturenummer 73574 Dienstverband Tijdelijke aanstelling met zicht op vaste aanstelling​​ Functiegroep Burger​ Functieomschrijving Data is pas waardevol als het leidt tot actie. Binnen de Koninklijke Marechaussee werk je met informatie die direct invloed heeft op veiligh…",nl,2026-04-10T19:06:11Z,adzuna,data_analyst
Senior Data Analyst (Business Intelligence),"Vacature kenmerken Standplaats Huis ter Heide (Ut) Contractduur 1 jaar Uren per week 36 - 38 Maandsalaris €3,035.00 - €4,205.00 Salarisniveau Burgerschaal IBBAD 07 - Burgerschaal IBBAD 07 Niveau MBO; MBO 3; MBO 4 Vakgebied ICT Vacaturenummer 73574 Dienstverband Tijdelijke aanstelling met zicht op vaste aanstelling​​ Functiegroep Burger​ Functieomschrijving Data is pas waardevol als het leidt tot actie. Binnen de Koninklijke Marechaussee werk je met informatie die direct invloed heeft op veiligh…",nl,2026-04-10T19:10:57Z,adzuna,data_analyst
Junior Data Analist,"Sta je aan het begin van je carrière en wil je je ontwikkelen tot een volwaardig data professional? Ben je (bijna) afgestudeerd en op zoek naar een functie waarin je jouw academische kennis daadwerkelijk toepast in de praktijk? Dan is de functie Junior Data Analyst een uitstekende volgende stap. In deze rol start je in een gestructureerd ontwikkeltraject waarin theorie en praktijk naadloos op elkaar aansluiten. Je krijgt de ruimte om je technische vaardigheden te verdiepen, werkt aan je profess…",nl,2025-12-16T10:55:41Z,adzuna,data_analyst
Data Analist,"Amsterdam Hybride Functieomschrijving Werk je graag met grote digitale datasets en duik je het liefst diep in data om patronen te ontdekken? Zoek je manieren om het gedrag op onze online platformen te koppelen aan onze datawarehouse‑informatie om zo betere inzichten en groei te realiseren én bij te dragen aan een betere wereld? Lees dan verder hoe je Data Data Analyst bij de Postcode Loterij en VriendenLoterij kunt worden. En bovendien: met jouw werk lever je, net als jouw collega’s, elke dag e…",nl,2026-02-28T01:54:03Z,adzuna,data_analyst
Data Analist,"Ben jij een analytische expert die gek is op data en het sturen van resultaat? En wil jij jouw talent inzetten om salescampagnes naar een hoger niveau te tillen? Dan hebben we bij PostNL een uitdagende functie voor jou als Data-analist voor jou! wat bieden wij jou Salaris van € 3052,- tot € 3861,- per maand Reiskostenvergoeding Goede werksfeer en teamuitjes Werk bij het mooiste postbedrijf van Nederland; wie ben jij Jij schakelt moeiteloos tussen data en praktijk, weet hoofd- van bijzaken te sc…",nl,2025-11-21T21:12:00Z,adzuna,data_analyst
Data Analyst,"Over de functie Important note: Professional Level of speaking and writing Dutch is a hard requirement for this job Wil jij: Elke week een andere scale-up helpen groeien? Werken met tientallen verschillende datasets? Elke dag iets nieuws leren? Lees dan snel verder! Over de baan Goede beslissingen beginnen met goede data. Bij Insight First bouwen we het fundament onder de groei van snelgroeiende e-commerce merken . We zijn een team van gedreven data consultants, engineers & analisten. We zoeken…",nl,2026-01-26T19:51:03Z,adzuna,data_analyst
Data Analist,"Klaar om data om te zetten in inzichten die organisaties echt vooruithelpen? Als Data Analist bij EIFFEL haal je het maximale uit data en breng je teams in beweging met jouw heldere analyses. Je vertaalt complexe gegevens naar inzichten die direct toepasbaar zijn voor de business. Je werkt in een team van data enthousiastelingen waar kennisdeling, groei en experimenteren centraal staan, en waar jij de ruimte krijgt om jezelf te ontwikkelen in de richting die bij je past. Dit ga je doen Als Data…",nl,2026-04-01T03:12:12Z,adzuna,data_analyst
Data Analist,"Klaar om data om te zetten in inzichten die organisaties echt vooruithelpen? Als Data Analist bij EIFFEL haal je het maximale uit data en breng je teams in beweging met jouw heldere analyses. Je vertaalt complexe gegevens naar inzichten die direct toepasbaar zijn voor de business. Je werkt in een team van data enthousiastelingen waar kennisdeling, groei en experimenteren centraal staan, en waar jij de ruimte krijgt om jezelf te ontwikkelen in de richting die bij je past. Dit ga je doen Als Data…",nl,2026-04-01T03:12:12Z,adzuna,data_analyst
Data Analist,"Klaar om data om te zetten in inzichten die organisaties echt vooruithelpen? Als Data Analist bij EIFFEL haal je het maximale uit data en breng je teams in beweging met jouw heldere analyses. Je vertaalt complexe gegevens naar inzichten die direct toepasbaar zijn voor de business. Je werkt in een team van data enthousiastelingen waar kennisdeling, groei en experimenteren centraal staan, en waar jij de ruimte krijgt om jezelf te ontwikkelen in de richting die bij je past. Dit ga je doen Als Data…",nl,2026-04-01T03:12:12Z,adzuna,data_analyst
Data Analist,"Klaar om data om te zetten in inzichten die organisaties echt vooruithelpen? Als Data Analist bij EIFFEL haal je het maximale uit data en breng je teams in beweging met jouw heldere analyses. Je vertaalt complexe gegevens naar inzichten die direct toepasbaar zijn voor de business. Je werkt in een team van data enthousiastelingen waar kennisdeling, groei en experimenteren centraal staan, en waar jij de ruimte krijgt om jezelf te ontwikkelen in de richting die bij je past. Dit ga je doen Als Data…",nl,2026-04-01T03:12:12Z,adzuna,data_analyst
Data Analist,"Klaar om data om te zetten in inzichten die organisaties echt vooruithelpen? Als Data Analist bij EIFFEL haal je het maximale uit data en breng je teams in beweging met jouw heldere analyses. Je vertaalt complexe gegevens naar inzichten die direct toepasbaar zijn voor de business. Je werkt in een team van data enthousiastelingen waar kennisdeling, groei en experimenteren centraal staan, en waar jij de ruimte krijgt om jezelf te ontwikkelen in de richting die bij je past. Dit ga je doen Als Data…",nl,2026-04-01T03:12:13Z,adzuna,data_analyst
Data Analist,"Heb jij een passie voor data en het ontdekken van inzichten die echt het verschil maken? Kom dan werken bij Bryn. Wij zoeken een Data Analist om ons snelgroeiende team in Vught te versterken. In deze rol vertaal je complexe data naar begrijpelijke inzichten en adviezen die onze klanten vooruithelpen. Wat ga je doen? Als Data Analist bij Bryn speel je een sleutelrol in het omzetten van ruwe data naar waardevolle inzichten. Jij duikt in de wereld van dashboards, KPI s en klantvragen en weet telke…",nl,2026-04-06T06:35:33Z,adzuna,data_analyst
Data analist,"Sollicitaties worden doorlopend behandeld Hoofddorp Hybride Maandelijks salaris: € 3.486 - € 6.713 Functieomschrijving Maak van data waardevolle inzichten Bij MyParcel helpen we meer dan 40.000 webshops en e-commerce ondernemers om hun pakketten slim en eenvoudig te verzenden. Achter dat succes schuilt een enorme hoeveelheid data – en die heeft betekenis nodig. Als Data Analist speel jij een sleutelrol in ons datagedreven bedrijf. Jij zorgt dat alle afdelingen, van Finance tot Customer Service,…",nl,2025-10-18T21:43:00Z,adzuna,data_analyst
Data-analist,Met jouw data-inzichten maak je wonen in Amsterdam betaalbaar en toekomstbestendig. Word Stadgenoot. Voor jezelf. En elke Amsterdammer Als data-analist bij Stadgenoot zorg je voor bruikbare beleidsinformatie over de woningmarkt. Zo draag je indirect bij aan een toegankelijk en bewoonbaar Amsterdam. Voor jou betekent dit dat je jouw analytische expertise verder ontwikkelt en advies geeft op strategisch niveau. Voor elke Amsterdammer zorg jij ervoor dat we goed onderbouwde keuzes maken die invloe…,nl,2026-04-03T06:34:03Z,adzuna,data_analyst
Data Analyst,"Zet jouw analytisch talent in bij 123inkt.nl! Breng structuur in data, bouw heldere rapportages en groei mee met een van de succesvolste webshops van Nederland! Uitdagende projecten Samen pakken we uitdagingen aan en vieren we onze successen. Jouw ontwikkeling Je krijgt alle ruimte om jezelf te ontwikkelen en een expert te worden. Groei mee We groeien hard en dat biedt ook voor jou veel mogelijkheden. Wat ga je doen? 123inkt.nl groeit hard en hiermee groeit ook de vraag naar inzichtelijke data.…",nl,2026-03-06T22:08:14Z,adzuna,data_analyst
Data Analist,Beschrijving Dit ga je doen Als data analist ben jij de sparringpartner voor onze stakeholders. Je gaat met hen in gesprek over hun doelstellingen en ondersteunt hen in het bereiken van deze met het leveren van managementinformatie en analyses. Je bent van nature nieuwsgierig en gaat proactief op zoek naar de vraag achter de vraag. Je houdt van het exploreren van databronnen en het leveren van inzichten middels rapportages en analyses om zoveel mogelijk toegevoegde waarde te kunnen bieden aan d…,nl,2026-04-01T02:54:40Z,adzuna,data_analyst
